Spy Character Selection      Smallman    Duke    Salmon    Rocker    Taft    Alice    Teal    Sikh    Carlos    Sari    Bling    Morgan    Plain    Oprah    Queen    Boots    General    Disney    Helen    Irish    Wheels
KumaKid                         0.00%  12.50%     0.00%     0.00%   0.00%    0.00%   0.00%   0.00%     0.00%  25.00%   12.50%    12.50%   12.50%    0.00%    0.00%    0.00%     12.50%     0.00%    0.00%   12.50%     0.00%
lazybear                        6.71%   5.37%     2.68%     2.68%   2.01%    5.37%   4.70%   1.34%     2.68%   4.03%    7.38%    10.07%    4.70%    8.05%    6.71%    0.67%      9.40%     2.01%    2.68%    3.36%     7.38%
leftylink                      22.73%   4.55%     0.00%     0.00%   9.09%    9.09%   0.00%   4.55%     0.00%   0.00%    4.55%     9.09%    4.55%    4.55%    0.00%    9.09%      4.55%     0.00%   13.64%    0.00%     0.00%
Legorve Genine                  6.52%   2.17%     8.70%     6.52%   0.00%    6.52%  13.04%   4.35%     4.35%   4.35%    8.70%     4.35%    2.17%    4.35%    0.00%    4.35%      6.52%     4.35%    2.17%    4.35%     2.17%
Libro                           0.00%   6.67%     6.67%     0.00%   6.67%    6.67%  13.33%   0.00%     0.00%  13.33%    6.67%     6.67%    6.67%    0.00%    0.00%    6.67%      0.00%     6.67%   13.33%    0.00%     0.00%
linkvanyali                     0.00%   0.00%     0.00%     0.00%  14.29%   14.29%   0.00%  14.29%     0.00%   0.00%   28.57%     0.00%    0.00%   14.29%    0.00%    0.00%      0.00%     0.00%    0.00%    0.00%    14.29%
magicdoer1                      7.83%   3.48%     3.48%     4.35%   1.74%   15.65%   6.96%   1.74%     0.00%   3.48%    6.96%     5.22%    2.61%    4.35%    1.74%    7.83%      6.96%     3.48%    3.48%    6.96%     1.74%
magician1099                   16.67%   4.39%     4.39%     6.14%   2.63%    4.39%   7.89%   1.75%     1.75%   7.89%    5.26%     4.39%    2.63%    7.02%    1.75%    4.39%      5.26%     2.63%    1.75%    4.39%     2.63%
marimo                          0.00%   9.38%     3.12%     9.38%   0.00%    9.38%   9.38%   0.00%     6.25%   6.25%    3.12%     6.25%    6.25%    3.12%    0.00%    6.25%      6.25%     6.25%    0.00%    6.25%     3.12%
mastrblastr                    13.64%   0.00%     0.00%     4.55%   4.55%    0.00%   9.09%   0.00%     0.00%   9.09%    0.00%    22.73%    0.00%    0.00%    9.09%    0.00%      9.09%     0.00%    9.09%    0.00%     9.09%
